star,distance,mass,radius
54 Piscium,36.1,53,0.798691378056286
81 Cancri,66,,
AB Pictoris,66.6,13.5,
CD−33°7795,163.08,20,
CT Chamaeleontis,538,17,2.2
Eta Coronae Borealis,58.3,63,
G 196-3,50.2,25,
GD 165,103,,
Gliese 570,19.0,52,
GU Piscium,155.3,11,
HD 89744,126.2,,
HD 100546,337.25,20,
HN Pegasi,58.3,28,1.01
LHS 4040 [es],,,
UScoCTIO 108,473,14,
WD 0137-349,330,53,
HD 41004 B,139,18.4,
HD 149382,241,15.5,
COROT-15,,63.4,1.12
Xi Ursae Majoris B,25.11,37,
Upsilon Andromedae,43.9,13.98,
Gliese 758,51.9,23,
HD 112758,53.81,35,
BD−04°782,66.6,21,
HD 110833,55.44,17,
HD 89707,81.54,54,
Tau Geminorum,302,18.1,
HAT-P-13,698,15.2,
HD 217580,58.7,60,
HD 16760,163,14.3,
HD 13189,603.4,14,
HD 18445,83.92,39,
HD 8673,124.75,14,
NGC 4349-127,7097,19.8,
Gliese 569,31.5,116[7],
HD 29587,146.77,40,
ChaHα8,522,18,
COROT-20,4000,17,
HD 168443,123.5,34,
HD 38529 A,138,37,
Epsilon Indi,11.8,28,
HW Virginis,590,19.23,
DT Virginis,37.55,12.5,1.1
HD 4113,136,60,
Gliese 229,19,40,
TYC 9486-927-1,111,13.3 (± 1.7)  MJ,
Epsilon Indi,11.8,47,
HD 131664,180.8,18.15,
HD 136118,171,42,
HD 140913,156.42,46,
GQ Lupi b,400,1-42,1.8
HD 162020,101.95,15.0,
Nu Ophiuchi,152.8,21.9,
HD 164427,127.52,46,
SCR 1845-6357,12.57,40-50,
COROT-3,2220,21.66,1.01
15 Sagittae,57.7,65,
Zeta Delphini,220,55,
HD 202206,151.14,17.4,
